cid,programTitle,campus,interests,bio,namSorGender.likelyGender,namSorCountry.country,namSorCountry.countryAlt,namSorCountry.region,namSorCountry.subRegion,isoCode.Country,isoCode.countryAlt
1,Master of Business Analytics,San Francisco,"I am Indian and my interests are reading, traveling, gaming, marketing, and cooking.","I am a Masters in International Business student at Hult Boston campus. Originally from India, I have worked with marketing teams in the automotive industry. I love to cook and travel and I'm looking forward to the journey that awaits at Hult!",male,IN,LK,Asia,Southern Asia,India,Sri Lanka
2,Master of International Business,Dubai,"I am British and from the UK. My interests include music, business strategy, organizational culture, and current affairs.","Hello! My name is and I am from the UK - specifically England! I choose to study at the Dubai campus in order to gain experience in studying and working abroad. Dubai was a massive draw for me due to the diversity and mix of cultural backgrounds found here. Prior to moving to Dubai, I had not travelled outside of Europe. 

I have been elected by my peers as a campus Hult Student Association representative and also serve as the Global Head of Strategy and Operations for the Business and Current Affairs Think Tank. I also serve as a member of many other clubs, the football team being an example!

Choosing to study at Hult was a massive life choice for me. I left my full-time job and home country for the first time! I have absolutely no regrets and have truly enjoyed my experience so far. The multi-cultural environment I find myself in is priming my mind to think in ways I have never done before. 

Prospective students can feel free to ask me anything! I will be honest and am happy to talk about any subject. Feel free to reach out to me.",male,AU,GB,Oceania,Australia and New Zealand,Australia,United Kingdom
3,Master of International Business,Boston,"Hi! My name is , I'm from Mexico. I'm passionate about design, marketing, photography, books, and travel.","Hi! My name is Laura Garcia and I'm from Mexico. I did my bachelor's in graphic design and media strategy and currently, I'm a MIB student at Hult Boston. I'm part of 4 different clubs and I'm the co-head of marketing of the book and wine club. My journey in Hult has been amazing. I've met a lot of new people from all over the world from who I constantly learn. This experience has given me a lot of new skills that will help me achieve my personal and professional goals.",female,ES,MX,Europe,Southern Europe,Spain,Mexico
4,Master of International Business,San Francisco,"I come from Tahiti, a small island in French Polynesia, and I have an interest in marketing, branding, and developing strong connections with my peers.","Hi everyone, my name is  and I was born and raised in Tahiti, a little island in the Pacific Ocean.  After studying for 3 years in France, I decided to take the plunge and realize one of my biggest dreams, which was to study in the United States. So far, I am really enjoying my experience at Hult. I have made friends with people from all around the world and learned about their cultures and backgrounds. Also, being a Hult student is such a unique experience as it continuously helps you to grow and become a better person. I am so glad to be part of this amazing community where I can feel comfortable sharing my visions and idea. Studying at Hult is one of the best decisions I have made in my life and I couldn't be happier with the learning and knowledge I am acquiring every day.",female,FR,CA,Europe,Western Europe,France,Canada
5,Master of International Business,San Francisco,"As an Asian-Latino, I am forever tied to the dash. My interests include clubs and associations, international business and marketing (Dual Degree), reading books (classic, fiction, nonfiction, and fantasy), hiking, CSR, and sustainability.","Hi there! my name is and I was born into a Chinese family and raised in Colombia. At Hult, I cofounded a social impact club and I am a member of three other student organizations. Spending time volunteering in the community helps me to recharge my batteries and focus on my goals. Hult has provided these spaces for me to be a changemaker and hashelped me grow both as a professional and as an individual; I am grateful for everything that my school has taught me.",male,CN,TW,Asia,Eastern Asia,China,"Taiwan, Province of China"
6,Executive MBA,Dubai,"Hello everyone! My name is, I'm Brazilian, with experience in the oil and gas industry. My interests are data analytics, marketing, and business development! I am vice-president for the Women in Business society on Dubai campus, Hult Student","I am Brazilian, graduated from the University of Sao Paulo in Biochemistry Engineering, 2010. Since 2011 I pursued a career in Oil & Gas with Schlumberger, as Project Engineer and Technical and Sales, in locations as Brunei, Angola, Congo. In 2018, I moved to Abu Dhabi for a new assignment on Talent Training and wanted to pursue my MBA while working, so I joined the team at Hult International Business School Dubai as an Executive MBA Candidate. I joined Hult for the diversity, the ability to engage with different people who are working in different industries than me, and also to be able to expand my horizons. Hult's proposal for Specialization and the professors were also a pivoting point for me to choose Hult! This year I am engaged at the Women In Business Society, HSA - Hult Student Association, and also I am a Blog Ambassador for Hult! I enjoy meeting new people and really enjoy sharing my experience with others! """,female,PT,BR,Europe,Southern Europe,Portugal,Brazil
7,Bachelor of Business Administration,London,"I'm South African, raised in India, and my interests are fashion, art, and sustainable business. The verdict is still out for my major and minor, all I know is that I want my work to be impactful and ethical.","""Hey! My name is , my parents are South African and I was born and raised in New Delhi, India. 
In my free time, you'll usually find me reading a book, listening to music, or adopting another pet. At Hult, I'm a part of the Hult Music club and the trading and investing club (I'm hoping to join more once I'm in London).
Being a part of the Hult community is the most rewarding challenge out there: exploring different cultures and navigating one's way through projects with people from an entirely different background is an experience that is truly unique to Hult. I feel myself becoming more prepared for the international business environment with each group project. Above all, Hult has made me grow as a person, recognizing my own attributes and flaws. I look forward to seeing what else is coming next.""",female,ZA,NL,Africa,Southern Africa,South Africa,Netherlands
8,Bachelor of Business Administration,London,"I am a Greek-American and my interests are going to the theatre, attending music festivals, making social impact projects, traveling, and public speaking.","Im , a Greek-American, and Ive lived and studied across California, Italy, China, and now the United Kingdom. Recently, I earned a Credential of Readiness in Business Analytics, Financial Accounting, and Economics for Managers through a program facilitated by Harvard Business School. Ive led different worldwide projects, from providing education in Guatemala to creating opportunities for youth in India through my startup ventures. At Hult, Im the president and co-founder of The Social Entrepreneurship Society. Through this society, I want to incubate the next generation of business ideas for social change and development to help solve problems that are being faced in our world today.",male,GR,AU,Europe,Southern Europe,Greece,Australia
9,Master of International Business,London,"Hi! I am  from Venezuela. My passions are cooking, flamenco, yoga, and the beach! Ask me anything!","Hello everyone! My name is . I am from Venezuela and have been living in London for the past 4 years. Currently, I am part of the Sustainability and Entrepreneurship Clubs along with being HSA representative of the London PG Campus and developing my own business on sustainable foods!. I also studied my BBA in Finance with Hult and my experience has been so fantastic that I decided to return one more time for my MIB! Hult has allowed me to discover myself in ways that I would have never imagined, giving me long life friends and unforgettable memories for so many years. The best thing at Hult is definitely the level of diversity you are surrounded with, constantly being challenged to grow and adapt your mindset to different and exciting situations. I love to meet new people and learn new things, which is why I can consider the Hult community my second family and home! You can ask me about Hult life, academics, living in London, what to expect, tips and advice, or anything you can think of!",female,MX,ES,Latin America and the Caribbean,Central America,Mexico,Spain
10,Bachelor of Business Administration,Boston,"Hi, my name is  and I'm from Mexico. I love travel and sports, but I also love entrepreneurship. I'm looking forward to talking to you!","Hi there, my name is , I am currently a freshman in the Boston Campus. I am currently involved in the Hult Founders Lab (Hult's in-house start-up incubator), Hult Prize, and HultCast (Hult Podcast) and I am also a Residence Life Intern in Hult House. Hult has been such a life-changing experience for me so far, I have met so many like-minded peers and I have grown in all aspects. The learning experience at Hult is as practical as it can get, combining this with the diversity of the school, it is an experience you can not have anywhere else. I can truly say coming to Hult is one of the best decisions I have made.",male,JP,CD,Asia,Eastern Asia,Japan,"Congo, the Democratic Republic of the"
